# calendar type (cldr-spec)
type=islamic-diyanet

# source=http://www.staff.science.uu.nl/~gent0113/islam/diyanetcalendar.htm (viewed at September 2015)
version=1.0-201509

# minimum hijri year
min=1318

# maximum hijri year
max=1444

# ISO-8601-date corresponding to first hijri date
iso-start=1900-05-01

# ISO-8601-date corresponding to last hijri date
# iso-end=2022-12-23 (informational)

# tabular data-------------------------------------------
# - every row denotes an islamic year in hijri calendar
# - every cell indicates the count of days in hijri month
# -------------------------------------------------------
1318=30 29 30 29 30 29 30 29 30 29 30 29
1319=30 29 30 29 30 29 30 29 30 29 30 30
1320=30 29 30 29 30 29 30 29 30 29 30 29
1321=30 29 30 29 30 29 30 29 30 29 30 29
1322=30 29 30 29 30 29 30 29 30 29 30 30
1323=30 29 30 29 30 29 30 29 30 29 30 29
1324=30 29 30 29 30 29 30 29 30 29 30 29
1325=30 29 30 29 30 29 30 29 30 29 30 30
1326=30 29 30 29 30 29 30 29 30 29 30 29
1327=30 29 30 29 30 29 30 29 30 29 30 30
1328=30 29 30 29 30 29 30 29 30 29 30 29
1329=30 29 30 29 30 29 30 29 30 29 30 29
1330=30 29 30 29 30 29 30 29 30 29 30 30
1331=30 29 30 29 30 29 30 29 30 29 30 29
1332=30 29 30 29 30 29 30 29 30 29 30 29
1333=30 29 30 29 30 29 30 29 30 29 30 30
1334=30 29 30 29 30 29 30 29 30 29 30 29
1335=30 29 30 29 30 29 30 29 30 29 30 29
1336=30 29 30 29 30 29 30 29 30 29 30 30
1337=30 29 30 29 30 29 30 29 30 29 30 29
1338=30 29 30 29 30 29 30 29 30 29 30 30
1339=30 29 30 29 30 29 30 29 30 29 30 29
1340=30 29 30 29 30 29 30 29 30 29 30 29
1341=30 29 30 29 30 29 30 29 30 29 30 30
1342=30 29 30 29 30 29 30 29 30 29 30 29
1343=30 29 30 29 30 29 30 29 30 29 30 29
1344=30 29 30 29 30 29 30 29 29 29 30 30
1345=30 30 29 30 30 29 30 29 29 30 29 30
1346=29 30 29 30 30 30 29 30 29 30 29 29
1347=29 30 29 30 30 30 29 30 30 29 30 29
1348=29 29 30 29 30 30 29 30 30 29 30 29
1349=30 29 29 30 30 29 30 29 30 30 29 30
1350=29 30 29 30 29 30 29 29 30 30 29 30
1351=30 30 29 29 30 29 30 29 29 30 29 30
1352=30 29 30 30 30 29 29 30 29 29 30 29
1353=30 29 30 30 30 30 29 29 29 30 29 30
1354=29 30 29 30 30 30 29 29 30 30 29 29
1355=30 29 29 30 30 30 30 29 29 30 30 29
1356=29 30 29 30 29 30 30 29 29 30 30 30
1357=29 29 30 29 30 29 30 29 29 30 30 30
1358=29 30 29 30 29 29 30 29 30 29 30 30
1359=30 29 30 30 29 29 30 29 29 30 29 30
1360=30 29 30 30 29 30 29 30 29 29 30 29
1361=30 30 29 30 29 30 30 29 30 29 29 30
1362=29 30 29 30 29 30 30 29 30 29 30 29
1363=30 29 30 29 30 29 30 29 30 30 29 30
1364=30 29 29 30 29 29 30 29 30 30 29 30
1365=30 30 29 29 30 29 29 30 30 29 29 30
1366=30 30 29 30 29 30 29 29 30 29 30 29
1367=30 30 30 29 30 29 30 29 29 30 29 30
1368=29 30 30 29 30 30 29 30 29 29 30 29
1369=30 29 30 29 30 30 29 30 29 30 30 29
1370=30 29 29 30 29 30 29 30 30 29 30 30
1371=29 30 29 29 30 29 30 29 30 29 30 30
1372=30 29 30 29 29 30 29 29 30 29 30 30
1373=30 30 29 29 30 29 30 29 29 30 29 30
1374=30 30 29 30 29 30 29 30 29 29 30 30
1375=29 30 29 30 30 29 30 29 30 29 30 29
1376=30 29 29 30 29 30 30 30 29 30 29 30
1377=29 30 29 29 30 29 30 30 29 30 30 29
1378=30 29 29 30 29 29 30 30 29 30 30 30
1379=29 30 29 29 30 29 29 30 30 29 30 30
1380=29 30 29 30 29 30 29 30 29 29 30 30
1381=29 30 29 30 30 29 30 29 30 29 29 30
1382=29 30 29 30 30 29 30 30 29 30 29 29
1383=30 29 30 29 30 30 29 30 30 29 30 29
1384=29 30 29 29 30 30 29 30 30 30 29 30
1385=29 29 30 29 29 30 30 29 30 30 29 30
1386=30 29 29 30 29 29 30 30 29 30 29 30
1387=30 29 30 29 30 29 30 29 29 30 30 29
1388=30 29 30 30 29 30 29 30 29 29 30 29
1389=30 30 29 30 30 29 30 30 29 29 30 29
1390=29 30 29 30 30 30 30 29 30 29 29 30
1391=29 29 30 29 30 30 30 29 30 29 30 29
1392=30 29 29 30 29 30 30 29 30 29 30 30
1393=29 30 29 29 30 29 30 29 30 29 30 30
1394=30 29 30 29 29 30 30 29 29 29 30 30
1395=30 29 30 30 29 29 30 29 29 30 29 30
1396=30 29 30 30 29 30 30 29 29 29 30 29
1397=30 29 30 30 29 30 30 29 30 29 30 29
1398=29 30 29 30 30 29 30 30 29 30 29 29
1399=30 29 30 29 30 29 30 30 29 30 29 30
1400=29 30 29 30 29 29 30 29 30 30 29 30
1401=30 29 30 29 30 29 30 29 29 30 29 30
1402=30 30 29 30 29 30 29 30 29 29 29 30
1403=30 30 29 30 30 29 30 29 30 29 29 29
1404=30 30 29 30 30 30 29 30 29 29 30 29
1405=30 29 30 29 30 30 29 30 30 29 29 30
1406=29 30 29 29 30 30 29 30 30 29 30 29
1407=30 29 30 29 30 29 30 29 30 29 30 30
1408=29 30 29 30 29 30 29 30 29 29 30 30
1409=29 30 30 29 30 29 30 29 29 30 29 30
1410=29 30 30 29 30 30 29 30 29 29 30 29
1411=30 29 30 30 29 30 30 29 30 29 30 29
1412=29 29 30 30 29 30 30 30 29 30 29 30
1413=29 29 29 30 30 29 30 30 29 30 30 29
1414=29 30 29 30 29 29 30 30 29 30 30 30
1415=29 29 30 29 30 29 29 30 30 29 30 30
1416=29 30 29 30 29 30 29 29 30 30 29 30
1417=29 30 29 30 30 29 30 29 30 29 30 30
1418=29 29 30 29 30 30 29 30 29 30 29 29
1419=30 29 30 29 30 30 29 30 30 29 30 29
1420=29 30 29 30 29 30 29 30 30 30 29 30
1421=29 30 29 29 29 30 29 30 30 30 29 30
1422=30 29 30 29 29 29 30 29 30 30 29 30
1423=30 30 29 30 29 29 29 30 29 30 29 30
1424=30 30 29 30 29 30 29 30 29 29 30 29
1425=30 30 29 30 30 29 30 29 30 29 29 30
1426=29 30 29 30 30 29 30 30 29 30 29 30
1427=29 29 30 29 30 29 30 30 29 30 30 29
1428=30 29 29 30 29 30 29 30 29 30 30 30
1429=29 30 29 29 30 29 30 29 29 30 30 30
1430=29 30 29 30 29 30 29 29 30 29 30 29
1431=30 30 30 29 30 29 30 29 29 30 29 30
1432=29 30 30 29 30 30 29 30 29 29 30 29
1433=30 29 30 29 30 30 30 29 30 29 29 30
